		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.			Int. 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	Bar  	Lluvia	Lluvia	Calor 	Frío 	Int.	Int.	Int.	Int.  	Viento	Viento	ISS 	Arc.
10/01/15	5:25 a	20.3	20.4	20.3	82	17.2	3.2	ESE	0.27	6.4	WNW	20.3	21.2	21.2	1009.9	0.00	0.0	0.000	0.007	34.8	42	20.0	38.0	98	8	100.0	5
10/01/15	5:30 a	20.3	20.3	20.3	82	17.1	3.2	SSE	0.27	9.7	WSW	20.3	21.1	21.1	1009.9	0.00	0.0	0.000	0.007	34.8	42	20.0	38.0	98	8	100.0	5
10/01/15	5:35 a	20.2	20.3	20.2	82	17.0	3.2	SE	0.27	9.7	WNW	20.2	21.1	21.1	1010.0	0.00	0.0	0.000	0.007	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	5:40 a	20.1	20.2	20.1	82	16.9	3.2	SSE	0.27	14.5	SSW	20.1	20.9	20.9	1010.1	0.00	0.0	0.000	0.006	34.8	42	20.0	38.0	99	8	100.0	5
10/01/15	5:45 a	20.2	20.2	20.1	82	17.0	3.2	SE	0.27	6.4	SSE	20.2	21.0	21.0	1010.2	0.00	0.0	0.000	0.006	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	5:50 a	20.0	20.2	20.0	82	16.8	3.2	WNW	0.27	14.5	WSW	20.0	20.8	20.8	1010.1	0.00	0.0	0.000	0.006	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	5:55 a	19.9	20.0	19.9	83	17.0	4.8	WNW	0.40	12.9	SW	19.9	20.7	20.7	1010.3	0.00	0.0	0.000	0.006	34.8	42	20.0	38.0	94	8	96.9	5
10/01/15	6:00 a	19.9	19.9	19.9	82	16.8	3.2	W	0.27	8.0	WSW	19.9	20.7	20.7	1010.4	0.00	0.0	0.000	0.006	34.8	42	20.0	38.0	97	8	100.0	5
10/01/15	6:05 a	19.8	19.9	19.8	83	16.9	3.2	SSE	0.27	9.7	W	19.8	20.6	20.6	1010.3	0.00	0.0	0.000	0.005	34.8	42	20.0	38.0	98	8	100.0	5
10/01/15	6:10 a	19.8	19.8	19.8	83	16.9	3.2	SW	0.27	11.3	SSW	19.8	20.6	20.6	1010.3	0.00	0.0	0.000	0.005	34.8	42	20.0	38.0	96	8	99.0	5
10/01/15	6:15 a	19.8	19.8	19.8	83	16.9	1.6	ESE	0.13	4.8	N	19.8	20.6	20.6	1010.4	0.00	0.0	0.000	0.005	34.8	42	20.0	38.0	97	8	100.0	5
10/01/15	6:20 a	19.9	19.9	19.8	83	17.0	3.2	NW	0.27	8.0	SW	19.9	20.7	20.7	1010.4	0.00	0.0	0.000	0.006	34.8	42	20.0	38.0	98	8	100.0	5
10/01/15	6:25 a	19.8	19.9	19.8	83	16.9	3.2	SSE	0.27	6.4	W	19.8	20.6	20.6	1010.3	0.00	0.0	0.000	0.005	34.8	42	20.0	38.0	97	8	100.0	5
10/01/15	6:30 a	19.9	19.9	19.8	83	16.9	3.2	SW	0.27	9.7	SW	19.9	20.7	20.7	1010.4	0.00	0.0	0.000	0.005	34.8	42	20.0	38.0	95	8	97.9	5
10/01/15	6:35 a	19.9	19.9	19.9	82	16.8	4.8	SW	0.40	9.7	SW	19.9	20.7	20.7	1010.5	0.00	0.0	0.000	0.006	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	6:40 a	19.9	20.0	19.9	82	16.8	4.8	WSW	0.40	8.0	SE	19.9	20.7	20.7	1010.5	0.00	0.0	0.000	0.006	34.7	42	19.9	37.9	98	8	100.0	5
